  UID   PID  PPID   C STIME   TTY           TIME CMD
    0   484     1   0  6:26AM ??         0:00.13 /usr/libexec/wifianalyticsd
   55   495     1   0  6:26AM ??         0:00.18 /usr/sbin/distnoted agent
  501   507     1   0  6:26AM ??         0:10.55 /usr/sbin/distnoted agent
  501   508     1   0  6:26AM ??         0:13.02 /usr/sbin/cfprefsd agent
    0   509     1   0  6:26AM ??         0:00.04 /usr/libexec/securityd_service
    0   511     1   0  6:26AM ??         0:26.02 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  501   521     1   0  6:26AM ??         0:10.09 /usr/libexec/UserEventAgent (Aqua)
  501   527     1   0  6:26AM ??         0:04.98 /usr/libexec/lsd
  501   533     1   0  6:26AM ??         0:12.45 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  501   540     1   0  6:26AM ??         0:21.93 /usr/libexec/nsurlsessiond
  501   541     1   0  6:26AM ??         0:03.09 /usr/libexec/rapportd
  501   542     1   0  6:26AM ??         0:31.66 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
  501   543     1   0  6:26AM ??         0:28.32 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  501   545     1   0  6:26AM ??         0:06.44 /usr/sbin/usernoted
  501   548     1   0  6:26AM ??         0:03.27 /System/Library/CoreServices/lockoutagent
  501   550     1   0  6:26AM ??         0:00.09 /System/Library/CoreServices/backgroundtaskmanagementagent
  501   553     1   0  6:26AM ??         0:03.49 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  501   555     1   0  6:26AM ??         0:39.29 /usr/libexec/trustd --agent
  501   558     1   0  6:26AM ??         0:00.42 /System/Library/CoreServices/sharedfilelistd
  501   559     1   0  6:26AM ??         0:00.31 /usr/libexec/pboard
  501   561     1   0  6:26AM ??         0:14.73 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  501   563     1   0  6:26AM ??         5:48.83 /Applications/Safari.app/Contents/MacOS/Safari
  501   565     1   0  6:26AM ??         0:55.45 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  501   568     1   0  6:26AM ??         0:01.60 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  501   570     1   0  6:26AM ??         1:02.42 /Applications/Microsoft Teams.app/Contents/MacOS/Teams
  501   571     1   0  6:26AM ??         0:38.44 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  501   574     1   0  6:26AM ??         0:02.99 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  501   575     1   0  6:26AM ??         0:06.63 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  501   576     1   0  6:26AM ??         0:00.55 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  501   581     1   0  6:26AM ??         0:01.66 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  501   585     1   0  6:26AM ??         1:22.57 /System/Applications/Music.app/Contents/MacOS/Music
  501   586     1   0  6:26AM ??         0:04.63 /System/Applications/Messages.app/Contents/MacOS/Messages
  501   587     1   0  6:26AM ??         0:10.22 /System/Applications/Notes.app/Contents/MacOS/Notes
  501   589     1   0  6:26AM ??         0:06.76 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  501   590     1   0  6:26AM ??         0:43.00 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  501   591     1   0  6:26AM ??         0:01.00 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  501   592     1   0  6:26AM ??         0:17.63 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  441   598     1   0  6:26AM ??         0:00.72 /usr/libexec/rosetta/oahd
    0   599     1   0  6:26AM ??         0:00.51 /usr/sbin/filecoordinationd
  265   602     1   0  6:26AM ??         0:00.56 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
  501   603     1   0  6:26AM ??         0:04.55 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  501   604     1   0  6:26AM ??         0:07.40 /Library/Apple/System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
